City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,husavik,66.0449,-17.3389,1.61,76,{'all': 100},10.09,IS,1680133564
267,takoradi,4.8845,-1.7554,26.53,85,{'all': 99},3.47,GH,1680133565
268,inirida,3.8653,-67.9239,24.17,92,{'all': 98},1.23,CO,1680133567
269,roald,62.5833,6.1333,2.09,47,{'all': 27},4.63,NO,1680133568
270,katsuura,35.1333,140.3,14.14,75,{'all': 9},2.36,JP,1680133570
271,guerrero negro,27.9769,-114.0611,17.4,46,{'all': 1},7.64,MX,1680133572
272,bandarbeyla,9.4942,50.8122,26.35,75,{'all': 9},1.51,SO,1680133573
273,darhan,49.4867,105.9228,3.73,54,{'all': 10},3.27,MN,1680133575
274,ahipara,-35.1667,173.1667,17.28,41,{'all': 100},1.55,NZ,1680133576
275,shache,38.4167,77.2406,12.06,18,{'all': 100},1.13,CN,1680133577
276,mitu,1.1983,-70.1733,24.9,84,{'all': 94},1.4,CO,1680133578
277,atar,20.5169,-13.0499,29.76,8,{'all': 0},2.28,MR,1680133580
278,vaitape,-16.5167,-151.75,28.14,72,{'all': 94},3.9,PF,1680133581
279,santa fe,-31.6333,-60.7,22.94,92,{'all': 60},3.57,AR,1680133582
280,canarana,-11.6847,-41.7689,20.78,83,{'all': 40},3.15,BR,1680133585
281,zhangjiakou,40.81,114.8794,12.04,15,{'all': 87},0.98,CN,1680133587
282,dauphin,51.1494,-100.0502,-0.92,59,{'all': 0},7.72,CA,1680133476
283,adrar,20.5022,-10.0711,27.89,8,{'all': 0},3.54,MR,1680133285
284,perez,-32.9983,-60.7679,22.17,57,{'all': 0},7.2,AR,1680133592
285,kavieng,-2.5744,150.7967,28.1,74,{'all': 99},2.31,PG,1680133596
286,luderitz,-26.6481,15.1594,15.08,73,{'all': 0},9.93,NA,1680133599
287,ust-ishim,57.6935,71.1665,-4.66,85,{'all': 29},4.17,RU,1680133600
288,clyde river,70.4692,-68.5914,-22.87,84,{'all': 75},2.06,CA,1680133602
289,boa vista,2.8197,-60.6733,30.99,48,{'all': 0},3.09,BR,1680133603
290,zabid,14.1951,43.3152,26.76,69,{'all': 10},1.56,YE,1680133605
291,dongsheng,39.8161,109.9776,8.6,22,{'all': 46},2.43,CN,1680133606
292,esperance,-33.8667,121.9,17.02,73,{'all': 100},4.33,AU,1680133608
293,maceio,-9.6658,-35.7353,25.69,94,{'all': 75},2.06,BR,1680133609
294,jiaozuo,35.2397,113.2331,14.4,40,{'all': 1},3.06,CN,1680133443
295,colesberg,-30.72,25.0972,12.17,67,{'all': 97},3.2,ZA,1680133612
296,lahad datu,5.0268,118.327,25.31,88,{'all': 49},1.66,MY,1680133617
297,podor,16.6527,-14.9587,30.97,37,{'all': 0},1.03,MR,1680133618
298,khani,41.9563,42.9566,0.76,99,{'all': 100},2.12,GE,1680133619
299,vrangel,42.7297,133.0839,4.86,90,{'all': 51},1.24,RU,1680133621
300,bonthe,7.5264,-12.505,24.03,87,{'all': 71},2.46,SL,1680133623
301,kloulklubed,7.0419,134.2556,25.28,68,{'all': 59},0.33,PW,1680133625
302,vostok,46.4856,135.8833,2.68,82,{'all': 97},3.79,RU,1680133626
303,deputatskiy,69.3,139.9,-23.75,98,{'all': 100},0.98,RU,1680133628
304,pacific grove,36.6177,-121.9166,12.82,86,{'all': 100},5.14,US,1680133629
305,budogoshch,59.2816,32.4707,-3.48,92,{'all': 100},3.38,RU,1680133631
306,hovd,48.0056,91.6419,1.55,49,{'all': 54},1.74,MN,1680133633
307,itapecerica,-20.4725,-45.1256,19.4,91,{'all': 58},1.18,BR,1680133634
308,lorengau,-2.0226,147.2712,27.83,78,{'all': 98},3.5,PG,1680133636
309,port hedland,-20.3167,118.5667,31.03,70,{'all': 40},4.12,AU,1680133638
310,parana,-31.732,-60.5238,20.98,89,{'all': 56},4.18,AR,1680133486
311,adzhamka,48.5424,32.5354,-0.91,82,{'all': 98},4.82,UA,1680133641
